Year	penA_345ins	n
1928	0	2
1930	0	1
1931	0	1
1932	0	6
1936	0	2
1940	0	9
1941	0	13
1942	0	6
1943	0	9
1944	0	4
1945	0	3
1946	0	5
1947	0	3
1951	0	6
1953	0	3
1954	0	7
1955	0	9
1956	0	7
1956	1	1
1957	0	2
1958	0	2
1958	1	1
1959	1	2
1960	1	1
1961	0	2
1961	1	1
1962	0	3
1962	1	1
1963	0	1
1963	1	1
1964	0	4
1965	0	2
1967	1	1
1968	1	3
1969	1	1
1979	0	7
1979	1	3
1980	1	3
1981	0	1
1981	1	1
1982	0	1
1982	1	3
1983	0	1
1983	1	2
1984	1	2
1985	0	2
1986	0	1
1986	1	1
1987	1	1
1989	0	1
1989	1	4
1990	0	2
1990	1	2
1991	0	3
1991	1	4
1992	0	2
1992	1	3
1993	1	4
1994	1	1
1995	0	1
1995	1	15
1996	1	42
1997	0	1
1997	1	89
1998	0	7
1998	1	89
1999	0	2
1999	1	31
2000	0	3
2000	1	56
2001	0	10
2001	1	36
2002	0	1
2002	1	58
2003	0	6
2003	1	48
2004	0	3
2004	1	262
2005	0	19
2005	1	119
2006	0	11
2006	1	111
2007	0	17
2007	1	164
2008	0	29
2008	1	100
2009	0	102
2009	1	172
2010	0	144
2010	1	203
2011	0	199
2011	1	473
2012	0	203
2012	1	1028
2013	0	454
2013	1	2057
2014	0	152
2014	1	970
2015	0	384
2015	1	1278
2016	0	153
2016	1	887
2017	0	207
2017	1	2984
2018	0	73
2018	1	1230
2019	0	157
2019	1	1766
2021	0	12
