DATASET_COLORSTRIP

SEPARATOR TAB

DATASET_LABEL	ponA 537
COLOR	#88419d

LEGEND_TITLE	ponA 537
LEGEND_SHAPES	1	1
LEGEND_COLORS	#b3cde3	#88419d
LEGEND_LABELS	Y	C

BORDER_WIDTH	0.25
BORDER_COLOR	#CCCCCC

DATA
ERR3325187	#b3cde3	Y
ERR3325189	#b3cde3	Y
ERR3325190	#b3cde3	Y
ERR3325191	#b3cde3	Y
ERR3325192	#b3cde3	Y
ERR3325193	#b3cde3	Y
ERR3325196	#b3cde3	Y
ERR3325199	#b3cde3	Y
ERR3325203	#b3cde3	Y
ERR3325204	#b3cde3	Y
ERR3325205	#b3cde3	Y
ERR3325208	#b3cde3	Y
ERR3325209	#b3cde3	Y
ERR3325210	#b3cde3	Y
ERR3325212	#b3cde3	Y
ERR3325213	#88419d	C
ERR3325216	#b3cde3	Y
ERR3325218	#b3cde3	Y
ERR3325221	#b3cde3	Y
ERR3325222	#b3cde3	Y
ERR3325223	#b3cde3	Y
ERR3325224	#b3cde3	Y
ERR3325226	#b3cde3	Y
ERR3325227	#88419d	C
ERR3325228	#b3cde3	Y
ERR3325230	#b3cde3	Y
ERR3325232	#b3cde3	Y
ERR3325233	#b3cde3	Y
ERR3325234	#b3cde3	Y
ERR3325238	#b3cde3	Y
ERR3325239	#b3cde3	Y
ERR3325245	#b3cde3	Y
ERR3325247	#b3cde3	Y
ERR3325248	#b3cde3	Y
ERR3325250	#b3cde3	Y
ERR3325251	#b3cde3	Y
ERR3325252	#b3cde3	Y
ERR3325255	#b3cde3	Y
ERR3325256	#b3cde3	Y
ERR3325260	#b3cde3	Y
ERR3325261	#b3cde3	Y
ERR3325263	#b3cde3	Y
ERR3325265	#b3cde3	Y
ERR3325267	#b3cde3	Y
ERR3325268	#b3cde3	Y
ERR3325270	#88419d	C
ERR3325273	#b3cde3	Y
ERR3325275	#b3cde3	Y
ERR3325276	#b3cde3	Y
ERR3325277	#b3cde3	Y
ERR3325279	#b3cde3	Y
ERR3325281	#b3cde3	Y
ERR3325288	#b3cde3	Y
ERR3325291	#b3cde3	Y
ERR3325292	#88419d	C
ERR3325296	#88419d	C
ERR3325298	#b3cde3	Y
ERR3325301	#88419d	C
ERR3325304	#b3cde3	Y
ERR3325315	#b3cde3	Y
ERR3325316	#b3cde3	Y
ERR3325317	#b3cde3	Y
ERR3325318	#b3cde3	Y
ERR3325319	#b3cde3	Y
ERR3325320	#b3cde3	Y
ERR3325321	#b3cde3	Y
ERR3325323	#b3cde3	Y
ERR3325325	#b3cde3	Y
ERR3325326	#b3cde3	Y
ERR3325328	#b3cde3	Y
ERR3325329	#b3cde3	Y
ERR3325330	#b3cde3	Y
ERR3325331	#b3cde3	Y
ERR3325332	#b3cde3	Y
ERR3325333	#b3cde3	Y
ERR3325334	#b3cde3	Y
ERR3325335	#b3cde3	Y
ERR3325336	#b3cde3	Y
ERR3325337	#b3cde3	Y
ERR3325338	#b3cde3	Y
ERR3325339	#b3cde3	Y
ERR3325340	#b3cde3	Y
ERR3325341	#b3cde3	Y
ERR3325342	#b3cde3	Y
ERR3325345	#b3cde3	Y
ERR3325346	#b3cde3	Y
ERR3325349	#b3cde3	Y
ERR3325352	#b3cde3	Y
ERR3325353	#b3cde3	Y
ERR3325354	#b3cde3	Y
ERR3325360	#b3cde3	Y
ERR3325362	#b3cde3	Y
ERR3325363	#b3cde3	Y
ERR3325364	#b3cde3	Y
ERR3325365	#b3cde3	Y
ERR3325367	#b3cde3	Y
ERR3325368	#88419d	C
ERR3325369	#b3cde3	Y
ERR3325370	#b3cde3	Y
ERR3325371	#b3cde3	Y
ERR3325372	#b3cde3	Y
ERR3325374	#b3cde3	Y
ERR3325377	#b3cde3	Y
ERR3325378	#b3cde3	Y
ERR3325382	#88419d	C
ERR3325383	#b3cde3	Y
ERR3325385	#b3cde3	Y
ERR3325386	#b3cde3	Y
ERR3325388	#b3cde3	Y
ERR3325390	#b3cde3	Y
ERR3325392	#b3cde3	Y
ERR3325394	#b3cde3	Y
ERR3325397	#b3cde3	Y
ERR3325398	#b3cde3	Y
ERR3325399	#b3cde3	Y
ERR3325401	#b3cde3	Y
ERR3325402	#b3cde3	Y
ERR3325403	#b3cde3	Y
ERR3325404	#b3cde3	Y
ERR3325405	#b3cde3	Y
ERR3325406	#b3cde3	Y
ERR3325407	#b3cde3	Y
ERR3325409	#b3cde3	Y
ERR3325410	#b3cde3	Y
ERR3325411	#b3cde3	Y
ERR3325414	#b3cde3	Y
ERR3325416	#88419d	C
ERR3325419	#b3cde3	Y
ERR3325421	#88419d	C
ERR3325422	#b3cde3	Y
ERR3325423	#b3cde3	Y
ERR3325425	#b3cde3	Y
ERR3325426	#b3cde3	Y
ERR3325427	#88419d	C
ERR3325428	#b3cde3	Y
ERR3325429	#b3cde3	Y
ERR3325430	#b3cde3	Y
ERR3325431	#88419d	C
ERR3325432	#b3cde3	Y
ERR3325433	#b3cde3	Y
ERR3325434	#b3cde3	Y
ERR3325435	#b3cde3	Y
ERR3325436	#b3cde3	Y
ERR3325438	#b3cde3	Y
ERR3325440	#b3cde3	Y
ERR3325441	#b3cde3	Y
ERR3325442	#b3cde3	Y
ERR3325443	#b3cde3	Y
ERR3325444	#b3cde3	Y
ERR3325446	#b3cde3	Y
ERR3325447	#b3cde3	Y
ERR3325449	#b3cde3	Y
ERR3325450	#b3cde3	Y
